row_index,source_column,source_type,path,duration_seconds,fps,width,height,mean_visible_joints,trace_length,avg_keypoint_confidence,confidence_variance,mean_bbox_area_ratio,velocity_mean,velocity_max,velocity_variance,left_shoulder_elbow,right_shoulder_elbow,left_hip_knee,right_hip_knee
0,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0004674B-2E99-41DF-8ECE-34D8D609187C_0.npz,2.1995754298524837,30.00579071044922,512,910,17.0,66,0.7583611607551575,0.0145935183390975,0.07626693695783615,2.4798500537872314,13.183215141296387,2.9956438541412354,11.551812171936035,34.11453628540039,6.799065589904785,13.435630798339844
1,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0004674B-2E99-41DF-8ECE-34D8D609187C_1.npz,1.9996140271386216,30.00579071044922,512,910,17.0,60,0.7743511199951172,0.013753017410635948,0.07377994060516357,2.4285058975219727,53.72847366333008,5.880815029144287,13.592297554016113,64.68807983398438,5.357701301574707,14.002716064453125
2,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0004674B-2E99-41DF-8ECE-34D8D609187C_2.npz,1.9996140271386216,30.00579071044922,512,910,17.0,60,0.7515531778335571,0.01619834452867508,0.07809771597385406,1.9589307308197021,13.910754203796387,1.887736439704895,11.795166969299316,31.91582489013672,5.983791828155518,11.876755714416504
3,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0004674B-2E99-41DF-8ECE-34D8D609187C_3.npz,1.7996526244247593,30.00579071044922,512,910,17.0,54,0.7528091073036194,0.01949813961982727,0.07230754941701889,2.0477142333984375,28.72283363342285,3.722294807434082,8.359395027160645,22.591569900512695,7.353137016296387,11.855119705200195
4,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0004674B-2E99-41DF-8ECE-34D8D609187C_4.npz,2.399536832566346,30.00579071044922,512,910,17.0,72,0.8063994646072388,0.010998976416885853,0.07764482498168945,1.7460963726043701,10.680431365966797,1.3120145797729492,22.70115089416504,66.35517883300781,8.058231353759766,6.465267658233643
5,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0017A779-7E44-4D70-A494-5FF59EE3D33C_0.npz,3.0001279885533854,29.998720169067383,512,910,17.0,90,0.7612591981887817,0.019854720681905746,0.0968327447772026,2.932941198348999,52.08900833129883,15.887897491455078,61.44045639038086,110.31195831298828,95.20353698730469,7.8177971839904785
6,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0017A779-7E44-4D70-A494-5FF59EE3D33C_1.npz,3.4001450536938367,29.998720169067383,512,910,16.84313725490196,102,0.7675909996032715,0.01956745609641075,0.09821201115846634,2.4344770908355713,158.30844116210938,38.72438430786133,63.87474060058594,361.50433349609375,88.32331848144531,53.301963806152344
7,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0017A779-7E44-4D70-A494-5FF59EE3D33C_2.npz,3.200136521123611,29.998720169067383,512,910,16.875,96,0.7361667156219482,0.019181739538908005,0.08759945631027222,2.639488458633423,51.69523239135742,9.982232093811035,85.31951141357422,213.486572265625,22.105972290039062,43.10054397583008
8,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0017A779-7E44-4D70-A494-5FF59EE3D33C_3.npz,3.0001279885533854,29.998720169067383,512,910,17.0,90,0.7672937512397766,0.015049364417791367,0.09752308577299118,2.1829216480255127,51.68431854248047,9.610926628112793,43.33243942260742,26.47791862487793,41.46836853027344,34.531864166259766
9,filename,skeleton_path,/home/eloise/nas/dataset/cap_dataset_metadata/person_bumps_into_wall/0017A779-7E44-4D70-A494-5FF59EE3D33C_4.npz,2.600110923412934,29.998720169067383,512,910,16.705128205128204,78,0.709682822227478,0.024512657895684242,0.10372074693441391,2.6919116973876953,56.07454299926758,10.234786987304688,65.82225036621094,88.82661437988281,23.59014892578125,30.702232360839844
